,Vendor,Model,Current_Price,Old_price,Time,Date
31,PowerCom,RPT-1000AP EURO USB,5230,7690,09.08.2022,15:34:58
32,Ippon,Innova G2 Euro 2000,38390,,09.08.2022,15:34:58
33,PowerCom,Spider SPD-1100U LCD,8420,8259,09.08.2022,15:34:58
34,PowerCom,Raptor RPT-800A,3080,3580,09.08.2022,15:34:58
35,PowerCom,Raptor RPT-2000AP,10170,10019,09.08.2022,15:34:58
36,PowerCom,WOW 700U,4380,,09.08.2022,15:34:58
37,PowerCom,Raptor RPT-1500AP LCD,9260,9210,09.08.2022,15:34:58
38,PowerCom,Raptor RPT-1025AP LCD,7920,7799,09.08.2022,15:34:58
39,PowerCom,WOW 1000U,6490,8820,09.08.2022,15:34:58
40,PowerCom,Spider SPD-650N,4180,,09.08.2022,15:34:58
41,PowerCom,Spider SPD-850N,5240,5129,09.08.2022,15:34:58
42,Ippon,Smart Power Pro II Euro 1200,11590,,09.08.2022,15:34:58
43,Ippon,Innova G2 1000,20390,,09.08.2022,15:34:58
44,PowerCom,Imperial IMP-1500AP,12070,11879,09.08.2022,15:34:58
45,Ippon,Smart Winner II 3000,48390,,09.08.2022,15:34:58
46,Ippon,Back Basic 1500,10490,,09.08.2022,15:34:58
47,Ippon,Back Verso 400,3990,,09.08.2022,15:34:58
48,PowerCom,WOW 500U,4350,4299,09.08.2022,15:34:58
49,Ippon,Smart Winner II 1500 Euro,32490,,09.08.2022,15:34:58
50,HIPER,Office-800,5130,5039,09.08.2022,15:34:58
51,Ippon,Back Office 400,2890,,09.08.2022,15:34:58
52,Ippon,Back Office 600,3590,3790,09.08.2022,15:34:58
53,PowerCom,RPT-600AP EURO USB,3460,3680,09.08.2022,15:34:58
54,PowerCom,Raptor RPT-600AP SE2,2090,,09.08.2022,15:34:58
55,PowerCom,Infinity INF-1500,13640,13369,09.08.2022,15:34:58
56,PowerCom,Infinity INF-800,9720,,09.08.2022,15:34:58
57,PowerCom,WOW 850U,5590,,09.08.2022,15:34:58
58,Ippon,Back Power Pro II 600,5790,,09.08.2022,15:34:58
59,PowerCom,Spider SPD-900U LCD USB,7370,7219,09.08.2022,15:34:58
60,PowerCom,Imperial IMD-1200AP,11390,,09.08.2022,15:34:58
61,PowerCom,Raptor RPT-1025AP,7110,7680,09.08.2022,15:34:58
62,Ippon,Back Office 1000,7190,8610,09.08.2022,15:34:58
63,PowerCom,Infinity INF-1100,10690,13490,09.08.2022,15:34:58
64,Ippon,Smart Winner II 1000,23390,,09.08.2022,15:34:58
65,PowerCom,Imperial IMP-2000AP,15050,14679,09.08.2022,15:34:58
66,PowerCom,Macan MAC-2000,30790,,09.08.2022,15:34:58
67,Ippon,Back Power Pro II 800,7190,7690,09.08.2022,15:34:58
68,PowerCom,Imperial IMD-2000AP,15330,16490,09.08.2022,15:34:58
69,PowerCom,Imperial IMP-1025AP,9230,8939,09.08.2022,15:34:58
70,PowerCom,Imperial IMP-825AP,7020,6899,09.08.2022,15:34:58
71,PowerCom,RPT-800AP EURO USB,3970,,09.08.2022,15:34:58
